number,title,category,phase,priority,labels,dependencies,scope,description,deliverables,acceptance_criteria,status,closed_at,closed_by,closure_evidence,closure_validation
75,Implement optimizer rollback snapshots,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement optimizer rollback snapshots.","Implement or specify `Implement optimizer rollback snapshots` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement optimizer rollback snapshots | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement optimizer rollback snapshots` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/local.py | src/rietveld_next/optimization/adapters.py | src/rietveld_next/optimization/tests/test_local.py | src/rietveld_next/optimization/tests/test_adapters.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
76,Implement differential evolution adapter,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement differential evolution adapter.","Implement or specify `Implement differential evolution adapter` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement differential evolution adapter | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement differential evolution adapter` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/global_search.py | src/rietveld_next/optimization/tests/test_global_search.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
77,Implement simulated annealing adapter,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement simulated annealing adapter.","Implement or specify `Implement simulated annealing adapter` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement simulated annealing adapter | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement simulated annealing adapter` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/global_search.py | src/rietveld_next/optimization/tests/test_global_search.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
78,Implement multi-start optimizer runner,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement multi-start optimizer runner.","Implement or specify `Implement multi-start optimizer runner` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement multi-start optimizer runner | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement multi-start optimizer runner` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/global_search.py | src/rietveld_next/optimization/tests/test_global_search.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
79,Implement Bayesian optimization placeholder API,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement Bayesian optimization placeholder API.","Implement or specify `Implement Bayesian optimization placeholder API` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Bayesian optimization placeholder API | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Bayesian optimization placeholder API` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/global_search.py | src/rietveld_next/optimization/tests/test_global_search.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
80,Implement MCMC uncertainty API,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement MCMC uncertainty API.","Implement or specify `Implement MCMC uncertainty API` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement MCMC uncertainty API | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement MCMC uncertainty API` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/analysis.py | src/rietveld_next/optimization/tests/test_analysis.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
81,Implement optimizer result comparison utilities,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement optimizer result comparison utilities.","Implement or specify `Implement optimizer result comparison utilities` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement optimizer result comparison utilities | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement optimizer result comparison utilities` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/analysis.py | src/rietveld_next/optimization/tests/test_analysis.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
82,Implement parameter-freezing heuristics,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement parameter-freezing heuristics.","Implement or specify `Implement parameter-freezing heuristics` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement parameter-freezing heuristics | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement parameter-freezing heuristics` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/analysis.py | src/rietveld_next/optimization/tests/test_analysis.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
83,Implement overparameterization detector,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement overparameterization detector.","Implement or specify `Implement overparameterization detector` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement overparameterization detector | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement overparameterization detector` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/analysis.py | src/rietveld_next/optimization/tests/test_analysis.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
84,Implement model selection scoring interface,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement model selection scoring interface.","Implement or specify `Implement model selection scoring interface` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement model selection scoring interface | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement model selection scoring interface` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/analysis.py | src/rietveld_next/optimization/tests/test_analysis.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
85,Implement optimizer reproducibility seed management,Optimization,Engine,P0,optimization;engine;p0;codex-ready;implementation,#1;#16;#61,"Deliver a granular, testable increment for Optimization: Implement optimizer reproducibility seed management.","Implement or specify `Implement optimizer reproducibility seed management` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement optimizer reproducibility seed management | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement optimizer reproducibility seed management` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/optimization/analysis.py | src/rietveld_next/optimization/tests/test_analysis.py | docs/optimization.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
86,Implement CIF import v0,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement CIF import v0.","Implement or specify `Implement CIF import v0` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement CIF import v0 | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement CIF import v0` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/structural_io.md | src/rietveld_next/structure/ | src/rietveld_next/structure/tests/ | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/structure -p test*.py
87,Implement CIF validation report,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement CIF validation report.","Implement or specify `Implement CIF validation report` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement CIF validation report | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement CIF validation report` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/structural_io.md | src/rietveld_next/structure/ | src/rietveld_next/structure/tests/ | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/structure -p test*.py
88,Implement space-group lookup service,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement space-group lookup service.","Implement or specify `Implement space-group lookup service` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement space-group lookup service | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement space-group lookup service` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/structural_io.md | src/rietveld_next/structure/ | src/rietveld_next/structure/tests/ | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/structure -p test*.py
89,Implement reflection generation service,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement reflection generation service.","Implement or specify `Implement reflection generation service` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement reflection generation service | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement reflection generation service` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/structural_io.md | src/rietveld_next/structure/ | src/rietveld_next/structure/tests/ | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/structure -p test*.py
90,Implement X-ray form factor table,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement X-ray form factor table.","Implement or specify `Implement X-ray form factor table` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement X-ray form factor table | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement X-ray form factor table` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/ | src/rietveld_next/neutron/ | src/rietveld_next/diffraction/tests/ | src/rietveld_next/neutron/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
91,Implement neutron scattering length table,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement neutron scattering length table.","Implement or specify `Implement neutron scattering length table` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement neutron scattering length table | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement neutron scattering length table` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/ | src/rietveld_next/neutron/ | src/rietveld_next/diffraction/tests/ | src/rietveld_next/neutron/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
92,Implement multiplicity calculation,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement multiplicity calculation.","Implement or specify `Implement multiplicity calculation` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement multiplicity calculation | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement multiplicity calculation` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/ | src/rietveld_next/neutron/ | src/rietveld_next/diffraction/tests/ | src/rietveld_next/neutron/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
93,Implement Lorentz-polarization correction,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement Lorentz-polarization correction.","Implement or specify `Implement Lorentz-polarization correction` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Lorentz-polarization correction | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Lorentz-polarization correction` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/ | src/rietveld_next/neutron/ | src/rietveld_next/diffraction/tests/ | src/rietveld_next/neutron/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
94,Implement preferred orientation model v0,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement preferred orientation model v0.","Implement or specify `Implement preferred orientation model v0` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement preferred orientation model v0 | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement preferred orientation model v0` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/diffraction/models.py | src/rietveld_next/diffraction/tests/test_models.py | docs/nonblocking_batch_completion_report.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
95,Implement isotropic size broadening,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement isotropic size broadening.","Implement or specify `Implement isotropic size broadening` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement isotropic size broadening | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement isotropic size broadening` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/diffraction/models.py | src/rietveld_next/diffraction/tests/test_models.py | docs/nonblocking_batch_completion_report.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
96,Implement isotropic strain broadening,Diffraction Models,Scientific Models,P1,diffraction-models;scientific-models;p1;codex-ready;implementation,#1;#2,"Deliver a granular, testable increment for Diffraction Models: Implement isotropic strain broadening.","Implement or specify `Implement isotropic strain broadening` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement isotropic strain broadening | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement isotropic strain broadening` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,src/rietveld_next/diffraction/models.py | src/rietveld_next/diffraction/tests/test_models.py | docs/nonblocking_batch_completion_report.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
